date_only;time_label;count_intervention;
03/04/2022;23:30;0;
03/04/2022;23:45;0;
02/04/2023;00:00;0;
02/04/2023;00:15;0;
02/04/2023;00:30;0;
02/04/2023;00:45;0;
02/04/2023;01:00;0;
02/04/2023;01:15;0;
02/04/2023;01:30;0;
02/04/2023;01:45;0;
02/04/2023;02:00;0;
02/04/2023;02:15;0;
02/04/2023;02:30;0;
02/04/2023;02:45;0;
02/04/2023;03:00;0;
02/04/2023;03:15;0;
02/04/2023;03:30;0;
02/04/2023;03:45;0;
02/04/2023;04:00;0;
02/04/2023;04:15;0;
02/04/2023;04:30;0;
02/04/2023;04:45;0;
02/04/2023;05:00;0;
02/04/2023;05:15;0;
02/04/2023;05:30;0;
02/04/2023;05:45;0;
02/04/2023;06:00;0;
02/04/2023;06:15;0;
02/04/2023;06:30;0;
02/04/2023;06:45;0;
02/04/2023;07:00;0;
02/04/2023;07:15;0;
02/04/2023;07:30;0;
02/04/2023;07:45;0;
02/04/2023;08:00;0;
02/04/2023;08:15;0;
02/04/2023;08:30;1;
02/04/2023;08:45;1;
02/04/2023;09:00;2;
02/04/2023;09:15;2;
02/04/2023;09:30;1;
02/04/2023;09:45;3;
02/04/2023;10:00;3;
02/04/2023;10:15;1;
02/04/2023;10:30;4;
02/04/2023;10:45;3;
02/04/2023;11:00;5;
02/04/2023;11:15;3;
02/04/2023;11:30;2;
02/04/2023;11:45;8;
02/04/2023;12:00;4;
02/04/2023;12:15;5;
02/04/2023;12:30;9;
02/04/2023;12:45;9;
02/04/2023;13:00;2;
02/04/2023;13:15;2;
02/04/2023;13:30;4;
02/04/2023;13:45;1;
02/04/2023;14:00;2;
02/04/2023;14:15;7;
02/04/2023;14:30;6;
02/04/2023;14:45;5;
02/04/2023;15:00;1;
02/04/2023;15:15;1;
02/04/2023;15:30;1;
02/04/2023;15:45;3;
02/04/2023;16:00;0;
02/04/2023;16:15;0;
02/04/2023;16:30;0;
02/04/2023;16:45;1;
02/04/2023;17:00;0;
02/04/2023;17:15;2;
02/04/2023;17:30;1;
02/04/2023;17:45;2;
02/04/2023;18:00;0;
02/04/2023;18:15;0;
02/04/2023;18:30;0;
02/04/2023;18:45;0;
02/04/2023;19:00;0;
02/04/2023;19:15;0;
02/04/2023;19:30;0;
02/04/2023;19:45;0;
02/04/2023;20:00;0;
02/04/2023;20:15;0;
02/04/2023;20:30;0;
02/04/2023;20:45;0;
02/04/2023;21:00;0;
02/04/2023;21:15;0;
02/04/2023;21:30;0;
02/04/2023;21:45;0;
02/04/2023;22:00;0;
02/04/2023;22:15;0;
02/04/2023;22:30;0;
02/04/2023;22:45;0;
02/04/2023;23:00;0;
02/04/2023;23:15;0;
02/04/2023;23:30;0;
02/04/2023;23:45;0;
07/04/2024;00:00;0;
07/04/2024;00:15;0;
07/04/2024;00:30;0;
07/04/2024;00:45;0;
07/04/2024;01:00;0;
07/04/2024;01:15;0;
07/04/2024;01:30;0;
07/04/2024;01:45;0;
07/04/2024;02:00;0;
07/04/2024;02:15;0;
07/04/2024;02:30;0;
07/04/2024;02:45;0;
07/04/2024;03:00;0;
07/04/2024;03:15;0;
07/04/2024;03:30;0;
07/04/2024;03:45;0;
07/04/2024;04:00;0;
07/04/2024;04:15;0;
07/04/2024;04:30;0;
07/04/2024;04:45;0;
07/04/2024;05:00;0;
07/04/2024;05:15;0;
07/04/2024;05:30;0;
07/04/2024;05:45;0;
07/04/2024;06:00;0;
07/04/2024;06:15;0;
07/04/2024;06:30;0;
07/04/2024;06:45;0;
07/04/2024;07:00;0;
07/04/2024;07:15;0;
07/04/2024;07:30;0;
07/04/2024;07:45;0;
07/04/2024;08:00;0;
07/04/2024;08:15;0;
07/04/2024;08:30;1;
07/04/2024;08:45;0;
07/04/2024;09:00;3;
07/04/2024;09:15;0;
07/04/2024;09:30;2;
07/04/2024;09:45;1;
07/04/2024;10:00;6;
07/04/2024;10:15;4;
07/04/2024;10:30;4;
07/04/2024;10:45;4;
07/04/2024;11:00;11;
07/04/2024;11:15;8;
07/04/2024;11:30;13;
07/04/2024;11:45;8;
07/04/2024;12:00;10;
07/04/2024;12:15;10;
07/04/2024;12:30;10;
07/04/2024;12:45;12;
07/04/2024;13:00;14;
07/04/2024;13:15;11;
07/04/2024;13:30;10;
07/04/2024;13:45;8;
07/04/2024;14:00;14;
07/04/2024;14:15;4;
07/04/2024;14:30;5;
07/04/2024;14:45;10;
07/04/2024;15:00;10;
07/04/2024;15:15;9;
07/04/2024;15:30;4;
07/04/2024;15:45;5;
07/04/2024;16:00;5;
07/04/2024;16:15;4;
07/04/2024;16:30;3;
07/04/2024;16:45;4;
07/04/2024;17:00;2;
07/04/2024;17:15;1;
07/04/2024;17:30;1;
07/04/2024;17:45;2;
07/04/2024;18:00;2;
07/04/2024;18:15;1;
